sources,destinations,protocol,ecn,checksum,packet_time
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.021148
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000037
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000038
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.048484
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000036
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.00004
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000052
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.025829
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.00005
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000039
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.030035
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.06583
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000041
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000039
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.038077
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000038
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000039
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000047
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.021492
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000045
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000042
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.020014
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000036
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000045
HewlettPacka_e0:02:5e,RockwellAuto_5f:48:fa,eth:ethertype:ip:tcp,0,2,0.000827
